City_ID,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Current Desc,Rain,Snow
0,Lagoa,39.05,-27.98,68.83,78,16.42,PT,clear sky,0.0,0
1,Muros,42.78,-9.06,73.99,64,13.0,ES,clear sky,0.0,0
2,Ahuimanu,21.44,-157.84,84.2,48,16.11,US,broken clouds,0.0,0
3,Tuktoyaktuk,69.45,-133.04,57.2,67,9.17,CA,scattered clouds,0.0,0
4,Saint-Augustin,51.23,-58.65,62.01,95,14.85,CA,overcast clouds,0.0,0
5,Ushuaia,-54.8,-68.3,35.6,94,16.11,AR,scattered clouds,0.0,0
6,Marsa Matruh,31.35,27.25,77.0,73,11.41,EG,broken clouds,0.0,0
7,Bluff,-46.6,168.33,39.0,83,3.0,NZ,broken clouds,0.0,0
8,Kolomna,55.08,38.78,66.2,88,8.95,RU,clear sky,0.0,0
9,Hofn,64.25,-15.21,52.03,94,5.12,IS,moderate rain,1.4,0
10,Severo-Kurilsk,50.68,156.12,49.71,92,9.19,RU,overcast clouds,0.0,0
11,Sayyan,15.17,44.32,67.96,62,4.14,YE,light rain,0.21,0
12,Nikolskoye,59.7,30.79,55.4,76,4.47,RU,broken clouds,0.0,0
13,Akyab,20.15,92.9,81.79,85,5.26,MM,moderate rain,1.53,0
14,Asau,46.43,26.4,54.0,91,4.14,RO,light rain,0.53,0
15,Victoria,22.29,114.16,84.0,79,4.0,HK,few clouds,0.0,0
16,Assiniboia,49.63,-105.98,80.96,41,7.54,CA,overcast clouds,0.0,0
17,Bengkulu,-3.8,102.27,74.35,90,3.74,ID,broken clouds,0.0,0
18,Cape Town,-33.93,18.42,57.99,71,27.51,ZA,broken clouds,0.0,0
19,Busselton,-33.65,115.33,55.0,87,13.87,AU,light rain,0.12,0
20,Vao,-22.67,167.48,71.67,80,20.24,NC,broken clouds,0.0,0
21,Kodiak,57.79,-152.41,55.4,71,10.29,US,overcast clouds,0.0,0
22,Dongli,23.57,116.82,80.6,88,4.47,CN,scattered clouds,0.0,0
23,Provideniya,64.38,-173.3,51.8,71,6.71,RU,fog,0.0,0
24,Wadi Maliz,36.47,8.55,87.8,35,8.05,TN,clear sky,0.0,0
25,Rikitea,-23.12,-134.97,71.04,71,16.71,PF,clear sky,0.0,0
26,Tasiilaq,65.61,-37.64,41.0,86,11.41,GL,light intensity drizzle,0.0,0
27,Mahebourg,-20.41,57.7,71.6,73,14.99,MU,few clouds,0.0,0
28,Hermanus,-34.42,19.23,55.99,72,20.0,ZA,clear sky,0.0,0
29,Synya,65.37,58.04,53.56,93,8.75,RU,scattered clouds,0.0,0
30,Cidreira,-30.18,-50.21,57.63,89,10.63,BR,overcast clouds,0.0,0
31,Saint-Philippe,-21.36,55.77,68.0,72,6.93,RE,light rain,0.71,0
32,Moose Factory,51.26,-80.61,55.4,93,3.36,CA,overcast clouds,0.0,0
33,Arlit,18.74,7.39,99.03,13,6.76,NE,clear sky,0.0,0
34,Margate,51.38,1.39,61.0,66,1.99,GB,overcast clouds,0.0,0
35,Necochea,-38.55,-58.74,44.01,63,8.99,AR,scattered clouds,0.0,0
36,Punta Arenas,-53.15,-70.92,37.4,83,21.92,CL,scattered clouds,0.0,0
37,Zhanaozen,43.3,52.8,80.37,36,3.89,KZ,clear sky,0.0,0
38,Green River,41.53,-109.47,89.6,10,17.31,US,clear sky,0.0,0
39,Mar Del Plata,-38.0,-57.56,48.2,45,18.34,AR,scattered clouds,0.0,0
40,Pangkalanbuun,-2.68,111.62,72.73,97,1.9,ID,broken clouds,0.0,0
41,Lompoc,34.64,-120.46,77.0,60,17.22,US,clear sky,0.0,0
42,Khatanga,71.97,102.5,54.72,77,14.74,RU,overcast clouds,0.0,0
43,Shanghai,31.22,121.46,88.0,79,4.47,CN,light rain,0.12,0
44,Yellowknife,62.46,-114.35,66.2,59,8.05,CA,broken clouds,0.0,0
45,Chapais,49.78,-74.85,62.6,88,11.41,CA,overcast clouds,0.0,0
46,San Quintin,30.48,-115.95,79.47,52,12.57,MX,light rain,0.29,0
47,Kargopol,61.51,38.95,54.59,74,2.3,RU,overcast clouds,0.0,0
48,Calbuco,-41.77,-73.13,44.6,75,4.7,CL,scattered clouds,0.0,0
49,Albany,42.6,-73.97,90.0,38,1.99,US,clear sky,0.0,0
50,Phuket,8.0,98.25,84.0,100,10.27,TH,broken clouds,0.0,0
51,Plettenberg Bay,-34.05,23.37,64.44,30,13.56,ZA,clear sky,0.0,0
52,Avarua,-21.21,-159.78,69.8,94,6.93,CK,heavy intensity rain,0.0,0
53,Sao Joao Da Barra,-21.64,-41.05,77.0,65,13.87,BR,overcast clouds,0.0,0
54,Constitucion,-35.33,-72.42,55.63,76,6.24,CL,overcast clouds,0.0,0
55,Kaoma,-14.78,24.8,58.19,34,5.86,ZM,clear sky,0.0,0
56,Carnarvon,-24.87,113.63,57.2,93,8.05,AU,scattered clouds,0.0,0
57,Bubaque,11.28,-15.83,78.93,86,16.55,GW,light rain,0.7,0
58,Praia,14.92,-23.51,78.8,78,11.41,CV,broken clouds,0.0,0
59,Cabedelo,-6.98,-34.83,78.8,74,10.29,BR,few clouds,0.0,0
60,Monrovia,6.3,-10.8,77.0,94,8.77,LR,broken clouds,0.0,0
