City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
2,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
6,Marsa Matruh,EG,77.0,broken clouds,31.35,27.25,Beau Site
15,Victoria,HK,84.0,few clouds,22.29,114.16,Mini Hotel Central
16,Assiniboia,CA,80.96,overcast clouds,49.63,-105.98,Canalta Hotel Assiniboia
22,Dongli,CN,80.6,scattered clouds,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
24,Wadi Maliz,TN,87.8,clear sky,36.47,8.55,HOPITAL
37,Zhanaozen,KZ,80.37,clear sky,43.3,52.8,K.korabay 28A
38,Green River,US,89.6,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
41,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
49,Albany,US,90.0,clear sky,42.6,-73.97,
50,Phuket,TH,84.0,broken clouds,8.0,98.25,The Surin Phuket
53,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
58,Praia,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
59,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
60,Monrovia,LR,77.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
61,Bethel,US,88.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
68,Aswan,EG,88.12,scattered clouds,24.09,32.91,Nuba Nile
73,Marzuq,YE,85.82,broken clouds,14.4,46.47,
77,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
84,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
85,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
90,La Ronge,CA,75.2,overcast clouds,55.1,-105.28,Northland Motor Hotel
94,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
95,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
96,Davila,PH,82.63,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
97,Palmer,US,88.0,scattered clouds,42.16,-72.33,Wedgewood Motel
103,Shaoxing,CN,82.4,overcast clouds,30.01,120.57,Holiday Inn Shaoxing
105,Kattivakkam,IN,84.2,broken clouds,13.22,80.32,St. Joseph Thirumana mandapam
106,Sabha,LY,89.08,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
107,Hambantota,LK,80.73,overcast clouds,6.12,81.12,Bungalow 63
110,Puerto Narino,CO,87.8,scattered clouds,-3.77,-70.38,Eware Refugio Amazonico
112,Bud,US,82.99,scattered clouds,39.45,-86.18,Madsion Scouts Camp
116,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
117,Colares,PT,77.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
118,Felanitx,ES,80.6,clear sky,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
127,Jiangkou,CN,80.6,overcast clouds,25.49,119.2,DFM Hotel
