City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.33,49.98,82,100,14.25,NZ,2020-07-09 02:58:37
1,Bowen,-20.02,148.23,75.99,88,75,18.34,AU,2020-07-09 02:58:37
2,Hermanus,-34.42,19.23,62.01,46,99,17.0,ZA,2020-07-09 02:58:38
3,Nikolskoye,59.7,30.79,53.6,87,75,6.71,RU,2020-07-09 02:58:38
4,Veisiejai,54.1,23.7,50.0,93,2,8.95,LT,2020-07-09 02:58:38
5,Tabuk,17.42,121.44,88.29,64,68,5.14,PH,2020-07-09 02:58:38
6,Luderitz,-26.65,15.16,51.8,100,0,11.41,NA,2020-07-09 02:58:38
7,Hilo,19.73,-155.09,78.8,69,90,13.87,US,2020-07-09 02:54:55
8,Zaysan,47.47,84.87,74.32,36,0,7.07,KZ,2020-07-09 02:58:38
9,Seddon,-37.81,144.89,62.01,67,0,14.99,AU,2020-07-09 02:58:39
10,Dunedin,-45.87,170.5,50.0,74,96,5.99,NZ,2020-07-09 02:55:11
11,Busselton,-33.65,115.33,57.0,67,12,4.36,AU,2020-07-09 02:58:39
12,Salalah,17.02,54.09,82.4,88,90,4.7,OM,2020-07-09 02:58:39
13,Chernyshevskiy,63.01,112.47,70.81,44,79,13.09,RU,2020-07-09 02:58:39
14,Acari,-15.43,-74.62,59.83,69,40,2.8,PE,2020-07-09 02:58:39
15,Saldanha,-33.01,17.94,57.2,76,100,16.11,ZA,2020-07-09 02:58:39
16,Miandrivazo,-19.52,45.47,68.86,53,0,4.94,MG,2020-07-09 02:58:40
17,Malmedy,50.43,6.03,57.2,100,100,9.17,BE,2020-07-09 02:58:40
18,Myre,69.1,15.95,46.4,87,0,4.7,NO,2020-07-09 02:58:40
19,Rocha,-34.48,-54.33,47.01,93,98,8.75,UY,2020-07-09 02:55:42
20,San Rafael,-34.62,-68.33,43.56,61,96,5.17,AR,2020-07-09 02:55:20
21,Torbay,47.67,-52.73,51.01,93,75,8.05,CA,2020-07-09 02:58:40
22,Kaitangata,-46.28,169.85,50.0,71,99,8.01,NZ,2020-07-09 02:58:41
23,Henties Bay,-22.12,14.28,53.01,95,0,1.99,NA,2020-07-09 02:58:41
24,Severnoye,56.35,78.36,73.96,76,100,10.25,RU,2020-07-09 02:58:41
25,Mataura,-46.19,168.86,43.25,93,100,5.7,NZ,2020-07-09 02:58:41
26,Hasaki,35.73,140.83,82.4,78,75,13.87,JP,2020-07-09 02:58:41
27,Chokurdakh,70.63,147.92,56.97,58,76,11.25,RU,2020-07-09 02:58:41
28,Evensk,61.95,159.23,52.34,95,100,7.14,RU,2020-07-09 02:58:41
29,Ancud,-41.87,-73.82,45.0,93,75,10.29,CL,2020-07-09 02:58:42
30,Jamestown,42.1,-79.24,71.6,83,1,3.36,US,2020-07-09 02:58:42
31,Barahona,18.21,-71.1,80.91,81,100,5.57,DO,2020-07-09 02:58:42
32,Aranos,-24.13,19.12,52.66,50,0,15.19,NA,2020-07-09 02:58:42
33,Camacha,33.08,-16.33,68.0,72,75,12.75,PT,2020-07-09 02:58:42
34,Yellowknife,62.46,-114.35,66.2,45,40,4.7,CA,2020-07-09 02:53:54
35,Bambous Virieux,-20.34,57.76,69.8,73,40,11.41,MU,2020-07-09 02:58:43
36,Ushuaia,-54.8,-68.3,39.2,64,75,11.41,AR,2020-07-09 02:58:43
37,Teya,60.38,92.63,60.87,63,43,10.29,RU,2020-07-09 02:58:43
38,Bethel,41.37,-73.41,71.6,94,40,4.7,US,2020-07-09 02:53:50
39,Castro,-24.79,-50.01,49.86,95,29,6.24,BR,2020-07-09 02:53:58
40,Tuktoyaktuk,69.45,-133.04,37.4,93,90,5.82,CA,2020-07-09 02:58:43
41,Te Anau,-45.42,167.72,42.1,86,76,0.96,NZ,2020-07-09 02:58:44
42,Wenling,28.37,121.36,75.92,88,100,21.92,CN,2020-07-09 02:58:44
43,Cape Town,-33.93,18.42,64.99,48,100,28.86,ZA,2020-07-09 02:58:44
44,Rikitea,-23.12,-134.97,68.13,69,2,19.37,PF,2020-07-09 02:58:44
45,Qaanaaq,77.48,-69.36,43.09,62,0,0.92,GL,2020-07-09 02:58:44
46,Punta Arenas,-53.15,-70.92,32.0,87,14,8.05,CL,2020-07-09 02:58:45
47,Hobart,-42.88,147.33,50.0,66,40,4.7,AU,2020-07-09 02:54:05
48,Saskylakh,71.92,114.08,64.2,47,7,10.2,RU,2020-07-09 02:58:45
49,Georgetown,5.41,100.34,82.4,83,20,5.82,MY,2020-07-09 02:55:44
50,Port Blair,11.67,92.75,83.62,72,91,6.89,IN,2020-07-09 02:54:14
51,Tiksi,71.69,128.87,34.95,94,100,7.49,RU,2020-07-09 02:58:45
52,Tartus,34.89,35.89,69.01,82,29,1.01,SY,2020-07-09 02:58:45
53,Kita,13.03,-9.49,77.76,88,100,3.83,ML,2020-07-09 02:58:45
54,Cidreira,-30.18,-50.21,53.17,83,83,22.32,BR,2020-07-09 02:58:46
55,Bitung,1.45,125.18,87.8,62,40,3.36,ID,2020-07-09 02:58:46
56,Ribeira Grande,38.52,-28.7,68.34,78,14,8.66,PT,2020-07-09 02:54:56
57,Freeport,40.66,-73.58,78.01,94,75,13.87,US,2020-07-09 02:56:39
58,Atlantic City,39.36,-74.42,78.8,83,1,8.05,US,2020-07-09 02:58:46
